Bestellnummer,Aktivitaet,Timestamp,Station
ORD-10074,Wareneingang im LVS,2025-09-25 12:59:23,Server
ORD-10074,Kommissionierung gestartet,2025-09-25 22:59:23,Lagerhalle A
ORD-10074,Kommissionierung beendet,2025-09-25 23:19:23,Lagerhalle A
ORD-10074,Verpacken und Labeldruck,2025-09-26 00:53:23,Packtisch 3
ORD-10074,Versandübergabe,2025-09-26 01:53:23,Rampe 1
ORD-10075,Wareneingang im LVS,2025-10-09 17:42:41,Server
ORD-10075,Kommissionierung gestartet,2025-10-10 12:42:41,Lagerhalle A
ORD-10075,Kommissionierung beendet,2025-10-10 12:57:41,Lagerhalle A
ORD-10075,Verpacken und Labeldruck,2025-10-10 13:21:41,Packtisch 3
ORD-10075,Versandübergabe,2025-10-10 16:21:41,Rampe 1
ORD-10076,Wareneingang im LVS,2025-10-29 13:59:44,Server
ORD-10076,Kommissionierung gestartet,2025-10-31 01:59:44,Lagerhalle A
ORD-10076,Kommissionierung beendet,2025-10-31 02:25:44,Lagerhalle A
ORD-10076,Verpacken und Labeldruck,2025-10-31 04:16:44,Packtisch 3
ORD-10076,Versandübergabe,2025-10-31 05:16:44,Rampe 1
ORD-10077,Wareneingang im LVS,2025-09-24 12:36:56,Server
ORD-10077,Kommissionierung gestartet,2025-09-24 23:36:56,Lagerhalle A
ORD-10077,Kommissionierung beendet,2025-09-25 00:11:56,Lagerhalle A
ORD-10077,Verpacken und Labeldruck,2025-09-25 00:47:56,Packtisch 3
ORD-10077,Versandübergabe,2025-09-25 03:47:56,Rampe 1
ORD-10078,Wareneingang im LVS,2025-09-23 16:53:02,Server
ORD-10078,Kommissionierung gestartet,2025-09-24 07:53:02,Lagerhalle A
ORD-10078,Kommissionierung beendet,2025-09-24 08:22:02,Lagerhalle A
ORD-10078,Verpacken und Labeldruck,2025-09-24 09:38:02,Packtisch 3
ORD-10078,Versandübergabe,2025-09-24 10:38:02,Rampe 1
ORD-10079,Wareneingang im LVS,2025-10-01 19:38:43,Server
ORD-10079,Kommissionierung gestartet,2025-10-03 18:38:43,Lagerhalle A
ORD-10079,Kommissionierung beendet,2025-10-03 19:21:43,Lagerhalle A
ORD-10079,Verpacken und Labeldruck,2025-10-03 20:08:43,Packtisch 3
ORD-10079,Versandübergabe,2025-10-03 21:08:43,Rampe 1
ORD-10080,Wareneingang im LVS,2025-10-01 09:18:48,Server
ORD-10080,Kommissionierung gestartet,2025-10-03 03:18:48,Lagerhalle A
ORD-10080,Kommissionierung beendet,2025-10-03 03:42:48,Lagerhalle A
ORD-10080,Verpacken und Labeldruck,2025-10-03 05:19:48,Packtisch 3
ORD-10080,Versandübergabe,2025-10-03 09:19:48,Rampe 1
ORD-10081,Wareneingang im LVS,2025-10-03 19:02:30,Server
ORD-10081,Kommissionierung gestartet,2025-10-04 05:02:30,Lagerhalle A
ORD-10081,Kommissionierung beendet,2025-10-04 05:18:30,Lagerhalle A
ORD-10081,Verpacken und Labeldruck,2025-10-04 06:03:30,Packtisch 3
ORD-10081,Versandübergabe,2025-10-04 07:03:30,Rampe 1
ORD-10082,Wareneingang im LVS,2025-10-07 17:56:47,Server
ORD-10082,Kommissionierung gestartet,2025-10-08 00:56:47,Lagerhalle A
ORD-10082,Kommissionierung beendet,2025-10-08 01:34:47,Lagerhalle A
ORD-10082,Verpacken und Labeldruck,2025-10-08 02:20:47,Packtisch 3
ORD-10082,Versandübergabe,2025-10-08 06:20:47,Rampe 1
ORD-10083,Wareneingang im LVS,2025-09-14 13:53:25,Server
ORD-10083,Kommissionierung gestartet,2025-09-15 07:53:25,Lagerhalle A
ORD-10083,Kommissionierung beendet,2025-09-15 08:08:25,Lagerhalle A
ORD-10083,Verpacken und Labeldruck,2025-09-15 09:25:25,Packtisch 3
ORD-10083,Versandübergabe,2025-09-15 12:25:25,Rampe 1
ORD-10084,Wareneingang im LVS,2025-10-11 14:00:24,Server
ORD-10084,Kommissionierung gestartet,2025-10-13 06:00:24,Lagerhalle A
ORD-10084,Kommissionierung beendet,2025-10-13 06:21:24,Lagerhalle A
ORD-10084,Verpacken und Labeldruck,2025-10-13 07:21:24,Packtisch 3
ORD-10084,Versandübergabe,2025-10-13 09:21:24,Rampe 1
ORD-10085,Wareneingang im LVS,2025-10-17 10:09:49,Server
ORD-10085,Kommissionierung gestartet,2025-10-18 16:09:49,Lagerhalle A
ORD-10085,Kommissionierung beendet,2025-10-18 16:50:49,Lagerhalle A
ORD-10085,Verpacken und Labeldruck,2025-10-18 17:25:49,Packtisch 3
ORD-10085,Versandübergabe,2025-10-18 19:25:49,Rampe 1
ORD-10086,Wareneingang im LVS,2025-09-27 15:58:16,Server
ORD-10086,Kommissionierung gestartet,2025-09-29 12:58:16,Lagerhalle A
ORD-10086,Kommissionierung beendet,2025-09-29 13:30:16,Lagerhalle A
ORD-10086,Verpacken und Labeldruck,2025-09-29 15:07:16,Packtisch 3
ORD-10086,Versandübergabe,2025-09-29 17:07:16,Rampe 1
ORD-10087,Wareneingang im LVS,2025-09-09 10:23:37,Server
ORD-10087,Kommissionierung gestartet,2025-09-09 20:23:37,Lagerhalle A
ORD-10087,Kommissionierung beendet,2025-09-09 20:44:37,Lagerhalle A
ORD-10087,Verpacken und Labeldruck,2025-09-09 22:28:37,Packtisch 3
ORD-10087,Versandübergabe,2025-09-10 02:28:37,Rampe 1
ORD-10088,Wareneingang im LVS,2025-10-11 15:48:11,Server
ORD-10088,Kommissionierung gestartet,2025-10-12 15:48:11,Lagerhalle A
ORD-10088,Kommissionierung beendet,2025-10-12 16:30:11,Lagerhalle A
ORD-10088,Verpacken und Labeldruck,2025-10-12 18:05:11,Packtisch 3
ORD-10088,Versandübergabe,2025-10-12 22:05:11,Rampe 1
ORD-10089,Wareneingang im LVS,2025-09-11 13:27:50,Server
ORD-10089,Kommissionierung gestartet,2025-09-13 02:27:50,Lagerhalle A
ORD-10089,Kommissionierung beendet,2025-09-13 03:02:50,Lagerhalle A
ORD-10089,Verpacken und Labeldruck,2025-09-13 03:53:50,Packtisch 3
ORD-10089,Versandübergabe,2025-09-13 06:53:50,Rampe 1
ORD-10090,Wareneingang im LVS,2025-10-06 18:45:56,Server
ORD-10090,Kommissionierung gestartet,2025-10-07 13:45:56,Lagerhalle A
ORD-10090,Kommissionierung beendet,2025-10-07 14:28:56,Lagerhalle A
ORD-10090,Verpacken und Labeldruck,2025-10-07 14:38:56,Packtisch 3
ORD-10090,Versandübergabe,2025-10-07 18:38:56,Rampe 1
ORD-10091,Wareneingang im LVS,2025-10-18 22:54:37,Server
ORD-10091,Kommissionierung gestartet,2025-10-19 17:54:37,Lagerhalle A
ORD-10091,Kommissionierung beendet,2025-10-19 18:13:37,Lagerhalle A
ORD-10091,Verpacken und Labeldruck,2025-10-19 20:09:37,Packtisch 3
ORD-10091,Versandübergabe,2025-10-20 00:09:37,Rampe 1
ORD-10092,Wareneingang im LVS,2025-10-30 12:06:12,Server
ORD-10092,Kommissionierung gestartet,2025-10-30 17:06:12,Lagerhalle A
ORD-10092,Kommissionierung beendet,2025-10-30 17:41:12,Lagerhalle A
ORD-10092,Verpacken und Labeldruck,2025-10-30 19:03:12,Packtisch 3
ORD-10092,Versandübergabe,2025-10-30 21:03:12,Rampe 1
ORD-10093,Wareneingang im LVS,2025-10-01 13:29:36,Server
ORD-10093,Kommissionierung gestartet,2025-10-01 20:29:36,Lagerhalle A
ORD-10093,Kommissionierung beendet,2025-10-01 21:04:36,Lagerhalle A
ORD-10093,Verpacken und Labeldruck,2025-10-01 21:21:36,Packtisch 3
ORD-10093,Versandübergabe,2025-10-01 23:21:36,Rampe 1
ORD-10094,Wareneingang im LVS,2025-09-08 17:19:45,Server
ORD-10094,Kommissionierung gestartet,2025-09-09 15:19:45,Lagerhalle A
ORD-10094,Kommissionierung beendet,2025-09-09 15:52:45,Lagerhalle A
ORD-10094,Verpacken und Labeldruck,2025-09-09 16:36:45,Packtisch 3
ORD-10094,Versandübergabe,2025-09-09 20:36:45,Rampe 1
ORD-10095,Wareneingang im LVS,2025-10-15 16:01:11,Server
ORD-10095,Kommissionierung gestartet,2025-10-16 12:01:11,Lagerhalle A
ORD-10095,Kommissionierung beendet,2025-10-16 12:17:11,Lagerhalle A
ORD-10095,Verpacken und Labeldruck,2025-10-16 13:36:11,Packtisch 3
ORD-10095,Versandübergabe,2025-10-16 14:36:11,Rampe 1
ORD-10096,Wareneingang im LVS,2025-10-28 14:23:56,Server
ORD-10096,Kommissionierung gestartet,2025-10-29 07:23:56,Lagerhalle A
ORD-10096,Kommissionierung beendet,2025-10-29 08:05:56,Lagerhalle A
ORD-10096,Verpacken und Labeldruck,2025-10-29 09:15:56,Packtisch 3
ORD-10096,Versandübergabe,2025-10-29 10:15:56,Rampe 1
ORD-10097,Wareneingang im LVS,2025-09-08 12:47:21,Server
ORD-10097,Kommissionierung gestartet,2025-09-09 05:47:21,Lagerhalle A
ORD-10097,Kommissionierung beendet,2025-09-09 06:03:21,Lagerhalle A
ORD-10097,Verpacken und Labeldruck,2025-09-09 07:50:21,Packtisch 3
ORD-10097,Versandübergabe,2025-09-09 11:50:21,Rampe 1
ORD-10098,Wareneingang im LVS,2025-09-26 14:02:23,Server
ORD-10098,Kommissionierung gestartet,2025-09-27 02:02:23,Lagerhalle A
ORD-10098,Kommissionierung beendet,2025-09-27 02:33:23,Lagerhalle A
ORD-10098,Verpacken und Labeldruck,2025-09-27 03:28:23,Packtisch 3
ORD-10098,Versandübergabe,2025-09-27 05:28:23,Rampe 1
ORD-10099,Wareneingang im LVS,2025-10-13 11:00:45,Server
ORD-10099,Kommissionierung gestartet,2025-10-14 22:00:45,Lagerhalle A
ORD-10099,Kommissionierung beendet,2025-10-14 22:28:45,Lagerhalle A
ORD-10099,Verpacken und Labeldruck,2025-10-15 00:14:45,Packtisch 3
ORD-10099,Versandübergabe,2025-10-15 04:14:45,Rampe 1
ORD-10100,Wareneingang im LVS,2025-09-23 11:48:21,Server
ORD-10100,Kommissionierung gestartet,2025-09-24 02:48:21,Lagerhalle A
ORD-10100,Kommissionierung beendet,2025-09-24 03:18:21,Lagerhalle A
ORD-10100,Verpacken und Labeldruck,2025-09-24 05:02:21,Packtisch 3
ORD-10100,Versandübergabe,2025-09-24 07:02:21,Rampe 1
ORD-10101,Wareneingang im LVS,2025-10-04 14:12:39,Server
ORD-10101,Kommissionierung gestartet,2025-10-05 21:12:39,Lagerhalle A
ORD-10101,Kommissionierung beendet,2025-10-05 21:48:39,Lagerhalle A
ORD-10101,Verpacken und Labeldruck,2025-10-05 22:41:39,Packtisch 3
ORD-10101,Versandübergabe,2025-10-06 01:41:39,Rampe 1
ORD-10102,Wareneingang im LVS,2025-09-24 17:38:51,Server
ORD-10102,Kommissionierung gestartet,2025-09-25 05:38:51,Lagerhalle A
ORD-10102,Kommissionierung beendet,2025-09-25 06:01:51,Lagerhalle A
ORD-10102,Verpacken und Labeldruck,2025-09-25 07:56:51,Packtisch 3
ORD-10102,Versandübergabe,2025-09-25 11:56:51,Rampe 1
ORD-10103,Wareneingang im LVS,2025-10-19 09:14:18,Server
ORD-10103,Kommissionierung gestartet,2025-10-19 16:14:18,Lagerhalle A
ORD-10103,Kommissionierung beendet,2025-10-19 16:30:18,Lagerhalle A
ORD-10103,Verpacken und Labeldruck,2025-10-19 17:31:18,Packtisch 3
ORD-10103,Versandübergabe,2025-10-19 21:31:18,Rampe 1
ORD-10104,Wareneingang im LVS,2025-10-16 17:57:06,Server
ORD-10104,Kommissionierung gestartet,2025-10-18 02:57:06,Lagerhalle A
ORD-10104,Kommissionierung beendet,2025-10-18 03:21:06,Lagerhalle A
ORD-10104,Verpacken und Labeldruck,2025-10-18 04:42:06,Packtisch 3
ORD-10104,Versandübergabe,2025-10-18 05:42:06,Rampe 1
ORD-10105,Wareneingang im LVS,2025-10-12 20:41:26,Server
ORD-10105,Kommissionierung gestartet,2025-10-14 13:41:26,Lagerhalle A
ORD-10105,Kommissionierung beendet,2025-10-14 14:12:26,Lagerhalle A
ORD-10105,Verpacken und Labeldruck,2025-10-14 15:16:26,Packtisch 3
ORD-10105,Versandübergabe,2025-10-14 18:16:26,Rampe 1
ORD-10106,Wareneingang im LVS,2025-10-14 18:45:24,Server
ORD-10106,Kommissionierung gestartet,2025-10-16 10:45:24,Lagerhalle A
ORD-10106,Kommissionierung beendet,2025-10-16 11:10:24,Lagerhalle A
ORD-10106,Verpacken und Labeldruck,2025-10-16 12:13:24,Packtisch 3
ORD-10106,Versandübergabe,2025-10-16 16:13:24,Rampe 1
ORD-10107,Wareneingang im LVS,2025-10-14 17:13:25,Server
ORD-10107,Kommissionierung gestartet,2025-10-15 11:13:25,Lagerhalle A
ORD-10107,Kommissionierung beendet,2025-10-15 11:46:25,Lagerhalle A
ORD-10107,Verpacken und Labeldruck,2025-10-15 12:15:25,Packtisch 3
ORD-10107,Versandübergabe,2025-10-15 14:15:25,Rampe 1
ORD-10108,Wareneingang im LVS,2025-10-08 10:22:51,Server
ORD-10108,Kommissionierung gestartet,2025-10-10 10:22:51,Lagerhalle A
ORD-10108,Kommissionierung beendet,2025-10-10 10:43:51,Lagerhalle A
ORD-10108,Verpacken und Labeldruck,2025-10-10 11:14:51,Packtisch 3
ORD-10108,Versandübergabe,2025-10-10 14:14:51,Rampe 1
ORD-10109,Wareneingang im LVS,2025-09-08 14:02:13,Server
ORD-10109,Kommissionierung gestartet,2025-09-10 03:02:13,Lagerhalle A
ORD-10109,Kommissionierung beendet,2025-09-10 03:19:13,Lagerhalle A
ORD-10109,Verpacken und Labeldruck,2025-09-10 03:43:13,Packtisch 3
ORD-10109,Versandübergabe,2025-09-10 04:43:13,Rampe 1
ORD-10110,Wareneingang im LVS,2025-09-11 05:05:05,Server
ORD-10110,Kommissionierung gestartet,2025-09-12 05:05:05,Lagerhalle A
ORD-10110,Kommissionierung beendet,2025-09-12 05:45:05,Lagerhalle A
ORD-10110,Verpacken und Labeldruck,2025-09-12 07:28:05,Packtisch 3
ORD-10110,Versandübergabe,2025-09-12 08:28:05,Rampe 1
ORD-10111,Wareneingang im LVS,2025-09-09 23:50:34,Server
ORD-10111,Kommissionierung gestartet,2025-09-11 06:50:34,Lagerhalle A
ORD-10111,Kommissionierung beendet,2025-09-11 07:11:34,Lagerhalle A
ORD-10111,Verpacken und Labeldruck,2025-09-11 08:16:34,Packtisch 3
ORD-10111,Versandübergabe,2025-09-11 12:16:34,Rampe 1
ORD-10112,Wareneingang im LVS,2025-09-30 13:07:31,Server
ORD-10112,Kommissionierung gestartet,2025-10-02 13:07:31,Lagerhalle A
ORD-10112,Kommissionierung beendet,2025-10-02 13:22:31,Lagerhalle A
ORD-10112,Verpacken und Labeldruck,2025-10-02 15:10:31,Packtisch 3
ORD-10112,Versandübergabe,2025-10-02 18:10:31,Rampe 1
ORD-10113,Wareneingang im LVS,2025-10-20 16:38:44,Server
ORD-10113,Kommissionierung gestartet,2025-10-22 05:38:44,Lagerhalle A
ORD-10113,Kommissionierung beendet,2025-10-22 06:06:44,Lagerhalle A
ORD-10113,Verpacken und Labeldruck,2025-10-22 06:43:44,Packtisch 3
ORD-10113,Versandübergabe,2025-10-22 09:43:44,Rampe 1
ORD-10114,Wareneingang im LVS,2025-10-25 11:53:41,Server
ORD-10114,Kommissionierung gestartet,2025-10-26 12:53:41,Lagerhalle A
ORD-10114,Kommissionierung beendet,2025-10-26 13:28:41,Lagerhalle A
ORD-10114,Verpacken und Labeldruck,2025-10-26 13:47:41,Packtisch 3
ORD-10114,Versandübergabe,2025-10-26 16:47:41,Rampe 1
ORD-10115,Wareneingang im LVS,2025-10-03 18:44:17,Server
ORD-10115,Kommissionierung gestartet,2025-10-05 13:44:17,Lagerhalle A
ORD-10115,Kommissionierung beendet,2025-10-05 14:21:17,Lagerhalle A
ORD-10115,Verpacken und Labeldruck,2025-10-05 15:48:17,Packtisch 3
ORD-10115,Versandübergabe,2025-10-05 19:48:17,Rampe 1
ORD-10116,Wareneingang im LVS,2025-09-13 13:28:29,Server
ORD-10116,Kommissionierung gestartet,2025-09-14 13:28:29,Lagerhalle A
ORD-10116,Kommissionierung beendet,2025-09-14 13:53:29,Lagerhalle A
ORD-10116,Verpacken und Labeldruck,2025-09-14 14:42:29,Packtisch 3
ORD-10116,Versandübergabe,2025-09-14 16:42:29,Rampe 1
ORD-10117,Wareneingang im LVS,2025-10-24 09:11:47,Server
ORD-10117,Kommissionierung gestartet,2025-10-24 11:11:47,Lagerhalle A
ORD-10117,Kommissionierung beendet,2025-10-24 11:36:47,Lagerhalle A
ORD-10117,Verpacken und Labeldruck,2025-10-24 11:50:47,Packtisch 3
ORD-10117,Versandübergabe,2025-10-24 14:50:47,Rampe 1
ORD-10118,Wareneingang im LVS,2025-09-18 13:56:42,Server
ORD-10118,Kommissionierung gestartet,2025-09-19 12:56:42,Lagerhalle A
ORD-10118,Kommissionierung beendet,2025-09-19 13:12:42,Lagerhalle A
ORD-10118,Verpacken und Labeldruck,2025-09-19 14:27:42,Packtisch 3
ORD-10118,Versandübergabe,2025-09-19 15:27:42,Rampe 1
ORD-10119,Wareneingang im LVS,2025-09-12 12:24:37,Server
ORD-10119,Kommissionierung gestartet,2025-09-13 16:24:37,Lagerhalle A
ORD-10119,Kommissionierung beendet,2025-09-13 17:08:37,Lagerhalle A
ORD-10119,Verpacken und Labeldruck,2025-09-13 18:53:37,Packtisch 3
ORD-10119,Versandübergabe,2025-09-13 21:53:37,Rampe 1
ORD-10120,Wareneingang im LVS,2025-10-11 12:50:24,Server
ORD-10120,Kommissionierung gestartet,2025-10-13 03:50:24,Lagerhalle A
ORD-10120,Kommissionierung beendet,2025-10-13 04:16:24,Lagerhalle A
ORD-10120,Verpacken und Labeldruck,2025-10-13 06:00:24,Packtisch 3
ORD-10120,Versandübergabe,2025-10-13 09:00:24,Rampe 1
ORD-10121,Wareneingang im LVS,2025-10-16 18:05:14,Server
ORD-10121,Kommissionierung gestartet,2025-10-17 19:05:14,Lagerhalle A
ORD-10121,Kommissionierung beendet,2025-10-17 19:28:14,Lagerhalle A
ORD-10121,Verpacken und Labeldruck,2025-10-17 21:26:14,Packtisch 3
ORD-10121,Versandübergabe,2025-10-18 01:26:14,Rampe 1
ORD-10122,Wareneingang im LVS,2025-09-14 15:41:06,Server
ORD-10122,Kommissionierung gestartet,2025-09-14 17:41:06,Lagerhalle A
ORD-10122,Kommissionierung beendet,2025-09-14 18:04:06,Lagerhalle A
ORD-10122,Verpacken und Labeldruck,2025-09-14 18:47:06,Packtisch 3
ORD-10122,Versandübergabe,2025-09-14 22:47:06,Rampe 1
ORD-10123,Wareneingang im LVS,2025-10-14 17:49:37,Server
ORD-10123,Kommissionierung gestartet,2025-10-15 15:49:37,Lagerhalle A
ORD-10123,Kommissionierung beendet,2025-10-15 16:18:37,Lagerhalle A
ORD-10123,Verpacken und Labeldruck,2025-10-15 16:55:37,Packtisch 3
ORD-10123,Versandübergabe,2025-10-15 20:55:37,Rampe 1
ORD-10124,Wareneingang im LVS,2025-10-07 15:04:48,Server
ORD-10124,Kommissionierung gestartet,2025-10-09 13:04:48,Lagerhalle A
ORD-10124,Kommissionierung beendet,2025-10-09 13:37:48,Lagerhalle A
ORD-10124,Verpacken und Labeldruck,2025-10-09 15:19:48,Packtisch 3
ORD-10124,Versandübergabe,2025-10-09 19:19:48,Rampe 1
ORD-10125,Wareneingang im LVS,2025-09-29 06:48:57,Server
ORD-10125,Kommissionierung gestartet,2025-10-01 04:48:57,Lagerhalle A
ORD-10125,Kommissionierung beendet,2025-10-01 05:29:57,Lagerhalle A
ORD-10125,Verpacken und Labeldruck,2025-10-01 07:08:57,Packtisch 3
ORD-10125,Versandübergabe,2025-10-01 11:08:57,Rampe 1
ORD-10126,Wareneingang im LVS,2025-10-29 01:55:11,Server
ORD-10126,Kommissionierung gestartet,2025-10-29 04:55:11,Lagerhalle A
ORD-10126,Kommissionierung beendet,2025-10-29 05:40:11,Lagerhalle A
ORD-10126,Verpacken und Labeldruck,2025-10-29 06:11:11,Packtisch 3
ORD-10126,Versandübergabe,2025-10-29 10:11:11,Rampe 1
ORD-10127,Wareneingang im LVS,2025-10-06 16:47:21,Server
ORD-10127,Kommissionierung gestartet,2025-10-07 04:47:21,Lagerhalle A
ORD-10127,Kommissionierung beendet,2025-10-07 05:18:21,Lagerhalle A
ORD-10127,Verpacken und Labeldruck,2025-10-07 06:35:21,Packtisch 3
ORD-10127,Versandübergabe,2025-10-07 09:35:21,Rampe 1
ORD-10128,Wareneingang im LVS,2025-09-08 15:08:08,Server
ORD-10128,Kommissionierung gestartet,2025-09-09 21:08:08,Lagerhalle A
ORD-10128,Kommissionierung beendet,2025-09-09 21:24:08,Lagerhalle A
ORD-10128,Verpacken und Labeldruck,2025-09-09 22:34:08,Packtisch 3
ORD-10128,Versandübergabe,2025-09-10 02:34:08,Rampe 1
ORD-10129,Wareneingang im LVS,2025-10-15 15:19:20,Server
ORD-10129,Kommissionierung gestartet,2025-10-16 18:19:20,Lagerhalle A
ORD-10129,Kommissionierung beendet,2025-10-16 18:54:20,Lagerhalle A
ORD-10129,Verpacken und Labeldruck,2025-10-16 20:45:20,Packtisch 3
ORD-10129,Versandübergabe,2025-10-16 23:45:20,Rampe 1
ORD-10130,Wareneingang im LVS,2025-10-02 09:47:46,Server
ORD-10130,Kommissionierung gestartet,2025-10-02 19:47:46,Lagerhalle A
ORD-10130,Kommissionierung beendet,2025-10-02 20:17:46,Lagerhalle A
ORD-10130,Verpacken und Labeldruck,2025-10-02 21:40:46,Packtisch 3
ORD-10130,Versandübergabe,2025-10-02 23:40:46,Rampe 1
ORD-10131,Wareneingang im LVS,2025-09-04 18:40:14,Server
ORD-10131,Kommissionierung gestartet,2025-09-04 21:40:14,Lagerhalle A
ORD-10131,Kommissionierung beendet,2025-09-04 21:57:14,Lagerhalle A
ORD-10131,Verpacken und Labeldruck,2025-09-04 22:45:14,Packtisch 3
ORD-10131,Versandübergabe,2025-09-05 02:45:14,Rampe 1
ORD-10132,Wareneingang im LVS,2025-10-23 10:05:33,Server
ORD-10132,Kommissionierung gestartet,2025-10-24 01:05:33,Lagerhalle A
ORD-10132,Kommissionierung beendet,2025-10-24 01:32:33,Lagerhalle A
ORD-10132,Verpacken und Labeldruck,2025-10-24 03:03:33,Packtisch 3
ORD-10132,Versandübergabe,2025-10-24 04:03:33,Rampe 1
ORD-10133,Wareneingang im LVS,2025-10-22 19:02:11,Server
ORD-10133,Kommissionierung gestartet,2025-10-24 07:02:11,Lagerhalle A
ORD-10133,Kommissionierung beendet,2025-10-24 07:22:11,Lagerhalle A
ORD-10133,Verpacken und Labeldruck,2025-10-24 09:02:11,Packtisch 3
ORD-10133,Versandübergabe,2025-10-24 10:02:11,Rampe 1
ORD-10134,Wareneingang im LVS,2025-09-06 19:24:19,Server
ORD-10134,Kommissionierung gestartet,2025-09-07 04:24:19,Lagerhalle A
ORD-10134,Kommissionierung beendet,2025-09-07 05:09:19,Lagerhalle A
ORD-10134,Verpacken und Labeldruck,2025-09-07 05:45:19,Packtisch 3
ORD-10134,Versandübergabe,2025-09-07 07:45:19,Rampe 1
ORD-10135,Wareneingang im LVS,2025-10-18 17:13:33,Server
ORD-10135,Kommissionierung gestartet,2025-10-19 06:13:33,Lagerhalle A
ORD-10135,Kommissionierung beendet,2025-10-19 06:39:33,Lagerhalle A
ORD-10135,Verpacken und Labeldruck,2025-10-19 08:34:33,Packtisch 3
ORD-10135,Versandübergabe,2025-10-19 11:34:33,Rampe 1
ORD-10136,Wareneingang im LVS,2025-10-06 10:22:47,Server
ORD-10136,Kommissionierung gestartet,2025-10-07 07:22:47,Lagerhalle A
ORD-10136,Kommissionierung beendet,2025-10-07 07:46:47,Lagerhalle A
ORD-10136,Verpacken und Labeldruck,2025-10-07 08:15:47,Packtisch 3
ORD-10136,Versandübergabe,2025-10-07 12:15:47,Rampe 1
ORD-10137,Wareneingang im LVS,2025-10-28 12:27:52,Server
ORD-10137,Kommissionierung gestartet,2025-10-30 05:27:52,Lagerhalle A
ORD-10137,Kommissionierung beendet,2025-10-30 05:57:52,Lagerhalle A
ORD-10137,Verpacken und Labeldruck,2025-10-30 07:48:52,Packtisch 3
ORD-10137,Versandübergabe,2025-10-30 10:48:52,Rampe 1
ORD-10138,Wareneingang im LVS,2025-09-12 12:41:40,Server
ORD-10138,Kommissionierung gestartet,2025-09-13 00:41:40,Lagerhalle A
ORD-10138,Kommissionierung beendet,2025-09-13 01:15:40,Lagerhalle A
ORD-10138,Verpacken und Labeldruck,2025-09-13 02:06:40,Packtisch 3
ORD-10138,Versandübergabe,2025-09-13 03:06:40,Rampe 1
ORD-10139,Wareneingang im LVS,2025-09-22 11:13:19,Server
ORD-10139,Kommissionierung gestartet,2025-09-22 18:13:19,Lagerhalle A
ORD-10139,Kommissionierung beendet,2025-09-22 18:36:19,Lagerhalle A
ORD-10139,Verpacken und Labeldruck,2025-09-22 19:29:19,Packtisch 3
ORD-10139,Versandübergabe,2025-09-22 20:29:19,Rampe 1
ORD-10140,Wareneingang im LVS,2025-09-07 05:54:03,Server
ORD-10140,Kommissionierung gestartet,2025-09-07 19:54:03,Lagerhalle A
ORD-10140,Kommissionierung beendet,2025-09-07 20:22:03,Lagerhalle A
ORD-10140,Verpacken und Labeldruck,2025-09-07 21:19:03,Packtisch 3
ORD-10140,Versandübergabe,2025-09-08 00:19:03,Rampe 1
ORD-10141,Wareneingang im LVS,2025-10-20 09:12:18,Server
ORD-10141,Kommissionierung gestartet,2025-10-20 23:12:18,Lagerhalle A
ORD-10141,Kommissionierung beendet,2025-10-20 23:47:18,Lagerhalle A
ORD-10141,Verpacken und Labeldruck,2025-10-21 01:10:18,Packtisch 3
ORD-10141,Versandübergabe,2025-10-21 02:10:18,Rampe 1
ORD-10142,Wareneingang im LVS,2025-09-10 18:45:23,Server
ORD-10142,Kommissionierung gestartet,2025-09-12 10:45:23,Lagerhalle A
ORD-10142,Kommissionierung beendet,2025-09-12 11:20:23,Lagerhalle A
ORD-10142,Verpacken und Labeldruck,2025-09-12 12:31:23,Packtisch 3
ORD-10142,Versandübergabe,2025-09-12 13:31:23,Rampe 1
ORD-10143,Wareneingang im LVS,2025-09-17 16:05:34,Server
ORD-10143,Kommissionierung gestartet,2025-09-18 23:05:34,Lagerhalle A
ORD-10143,Kommissionierung beendet,2025-09-18 23:34:34,Lagerhalle A
ORD-10143,Verpacken und Labeldruck,2025-09-19 00:54:34,Packtisch 3
ORD-10143,Versandübergabe,2025-09-19 04:54:34,Rampe 1
ORD-10144,Wareneingang im LVS,2025-09-30 12:00:50,Server
ORD-10144,Kommissionierung gestartet,2025-10-01 15:00:50,Lagerhalle A
ORD-10144,Kommissionierung beendet,2025-10-01 15:42:50,Lagerhalle A
ORD-10144,Verpacken und Labeldruck,2025-10-01 16:52:50,Packtisch 3
ORD-10144,Versandübergabe,2025-10-01 19:52:50,Rampe 1
ORD-10145,Wareneingang im LVS,2025-09-15 11:10:31,Server
ORD-10145,Kommissionierung gestartet,2025-09-16 19:10:31,Lagerhalle A
ORD-10145,Kommissionierung beendet,2025-09-16 19:36:31,Lagerhalle A
ORD-10145,Verpacken und Labeldruck,2025-09-16 21:20:31,Packtisch 3
ORD-10145,Versandübergabe,2025-09-17 01:20:31,Rampe 1
ORD-10146,Wareneingang im LVS,2025-10-24 15:32:43,Server
ORD-10146,Kommissionierung gestartet,2025-10-25 16:32:43,Lagerhalle A
ORD-10146,Kommissionierung beendet,2025-10-25 16:50:43,Lagerhalle A
ORD-10146,Verpacken und Labeldruck,2025-10-25 18:04:43,Packtisch 3
ORD-10146,Versandübergabe,2025-10-25 19:04:43,Rampe 1
